global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
30100,0.2334019,1.6758065,,,,,,,,,,,,,,,,,
30200,0.20957096,1.6679085,,,,,,,,,,,,,,,,,
30300,0.21776298,1.5958009,,,,,,,,,,,,,,,,,
30400,0.2107168,1.5908926,,,,,,,,,,,,,,,,,
30500,0.19997297,1.6421117,,,,,,,,,,,,,,,,,
30600,0.22094248,1.6406637,,,,,,,,,,,,,,,,,
30700,0.2115842,1.6787503,,,,,,,,,,,,,,,,,
30800,0.19927032,1.6466892,,,,,,,,,,,,,,,,,
30900,0.19298002,1.6404476,,,,,,,,,,,,,,,,,
31000,0.30057573,1.6296312,,,,,,,,,,,,,,,,,
31100,0.20102887,1.7001673,,,,,,,,,,,,,,,,,
31200,0.22306506,1.7236892,,,,,,,,,,,,,,,,,
31300,0.24123256,1.7174076,,,,,,,,,,,,,,,,,
31400,0.19355972,1.6582063,,,,,,,,,,,,,,,,,
31500,0.18892066,1.6059983,,,,,,,,,,,,,,,,,
31600,0.2577607,1.5755978,,,,,,,,,,,,,,,,,
31700,0.20453769,1.6164479,,,,,,,,,,,,,,,,,
31800,0.19937585,1.6561091,,,,,,,,,,,,,,,,,
31900,0.22273247,1.6271144,,,,,,,,,,,,,,,,,
32000,0.22750545,1.6675074,,,,,,,,,,,,,,,,,
32100,0.25279725,1.7367065,,,,,,,,,,,,,,,,,
32200,0.23684447,1.6242965,,,,,,,,,,,,,,,,,
32300,0.21024185,1.6630691,,,,,,,,,,,,,,,,,
32400,0.21067739,1.6975006,,,,,,,,,,,,,,,,,
32500,0.19784069,1.5643806,,,,,,,,,,,,,,,,,
32600,0.20145267,1.6282463,,,,,,,,,,,,,,,,,
32700,0.23220906,1.7035505,,,,,,,,,,,,,,,,,
32800,0.21413708,1.7456031,,,,,,,,,,,,,,,,,
32900,0.21099907,1.6538749,,,,,,,,,,,,,,,,,
33000,0.22197086,1.6623502,,,,,,,,,,,,,,,,,
33100,0.22383644,1.5772634,,,,,,,,,,,,,,,,,
33200,0.23185724,1.6943567,,,,,,,,,,,,,,,,,
33300,0.21550319,1.6672305,,,,,,,,,,,,,,,,,
33400,0.20786919,1.6652769,,,,,,,,,,,,,,,,,
33500,0.20560953,1.5854899,,,,,,,,,,,,,,,,,
33600,0.32405576,1.6321052,,,,,,,,,,,,,,,,,
33700,0.20226021,1.6454678,,,,,,,,,,,,,,,,,
33759,,,0.6721964478492737,1.5324465036392212,33.77632321898949,0.6795451641082764,1.4768768548965454,29.65446299555595,3000.0,0.69425368309021,1.3806546926498413,29.21809722364955,3003.0,4566.395738124847,9584.582728147509,4566.395738124847,5017.56763458252,0.3557384014129638,0.0
33800,0.22766653,1.5545835,,,,,,,,,,,,,,,,,
33900,0.20476368,1.6365511,,,,,,,,,,,,,,,,,
34000,0.21750732,1.6851087,,,,,,,,,,,,,,,,,
34100,0.20723334,1.6708802,,,,,,,,,,,,,,,,,
34200,0.22442102,1.6943997,,,,,,,,,,,,,,,,,
34300,0.24127594,1.6490294,,,,,,,,,,,,,,,,,
34400,0.20270875,1.5617596,,,,,,,,,,,,,,,,,
34500,0.23408808,1.6248164,,,,,,,,,,,,,,,,,
34600,0.20917642,1.7265273,,,,,,,,,,,,,,,,,
34700,0.23726398,1.6707113,,,,,,,,,,,,,,,,,
34800,0.20337294,1.6010014,,,,,,,,,,,,,,,,,
34900,0.22722101,1.6827258,,,,,,,,,,,,,,,,,
35000,0.23789267,1.5974303,,,,,,,,,,,,,,,,,
35100,0.23734051,1.6657034,,,,,,,,,,,,,,,,,
35200,0.23056473,1.6430644,,,,,,,,,,,,,,,,,
35300,0.20150271,1.5420507,,,,,,,,,,,,,,,,,
35400,0.22662373,1.6531676,,,,,,,,,,,,,,,,,
35500,0.2111154,1.6367733,,,,,,,,,,,,,,,,,
35600,0.22147374,1.6447053,,,,,,,,,,,,,,,,,
35700,0.22078925,1.5337212,,,,,,,,,,,,,,,,,
35800,0.21255295,1.628006,,,,,,,,,,,,,,,,,
35900,0.2234411,1.6026374,,,,,,,,,,,,,,,,,
36000,0.23195966,1.6368096,,,,,,,,,,,,,,,,,
36100,0.2895674,1.5857147,,,,,,,,,,,,,,,,,
36200,0.22379172,1.6169044,,,,,,,,,,,,,,,,,
36300,0.21695453,1.6215633,,,,,,,,,,,,,,,,,
36400,0.20814005,1.6491421,,,,,,,,,,,,,,,,,
36500,0.21437763,1.6380262,,,,,,,,,,,,,,,,,
36600,0.21223292,1.6560321,,,,,,,,,,,,,,,,,
36700,0.23110436,1.5016649,,,,,,,,,,,,,,,,,
36800,0.22811028,1.6172382,,,,,,,,,,,,,,,,,
36900,0.21168372,1.6561577,,,,,,,,,,,,,,,,,
37000,0.22032736,1.5961567,,,,,,,,,,,,,,,,,
37100,0.22686474,1.6014409,,,,,,,,,,,,,,,,,
37200,0.21741974,1.6288829,,,,,,,,,,,,,,,,,
37300,0.22014022,1.6068501,,,,,,,,,,,,,,,,,
37400,0.22666052,1.6135907,,,,,,,,,,,,,,,,,
37500,0.24555463,1.6029006,,,,,,,,,,,,,,,,,
37600,0.23303473,1.697217,,,,,,,,,,,,,,,,,
37700,0.21027507,1.5962192,,,,,,,,,,,,,,,,,
37800,0.22460309,1.5918068,,,,,,,,,,,,,,,,,
37900,0.2620316,1.7101336,,,,,,,,,,,,,,,,,
38000,0.21889356,1.6052113,,,,,,,,,,,,,,,,,
